ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2024-12,west,TRN,88.6,87.4,89.4,780
2024-12,west,VST,88.2,87.0,89.0,888
2024-12,west,AUR,88.8,87.6,89.6,345
2024-12,west,MRD,89.1,87.9,89.9,565
2024-12,west,NOV,88.5,87.3,89.3,456
2024-12,west,LUM,88.1,86.9,88.9,596
2024-12,central,TRN,88.1,86.9,88.9,510
2024-12,central,VST,88.1,86.9,88.9,580
2024-12,central,AUR,88.9,87.7,89.7,125
2024-12,central,MRD,88.8,87.6,89.6,369
2024-12,central,NOV,88.8,87.6,89.6,298
2024-12,central,LUM,88.2,87.0,89.0,217
2024-12,south,TRN,88.3,87.1,89.1,660
2024-12,south,VST,88.0,86.8,88.8,751
2024-12,south,AUR,88.7,87.5,89.5,162
2024-12,south,MRD,88.5,87.3,89.3,478
2024-12,south,NOV,88.2,87.0,89.0,386
2024-12,south,LUM,87.9,86.7,88.7,280
2024-12,northeast,TRN,88.5,87.3,89.3,510
2024-12,northeast,VST,88.0,86.8,88.8,580
2024-12,northeast,AUR,88.2,87.0,89.0,226
2024-12,northeast,MRD,88.6,87.4,89.4,369
2024-12,northeast,NOV,88.1,86.9,88.9,298
2024-12,northeast,LUM,88.7,87.5,89.5,390
2024-12,southeast,TRN,88.9,87.7,89.7,540
2024-12,southeast,VST,87.9,86.7,88.7,614
2024-12,southeast,AUR,88.9,87.7,89.7,177
2024-12,southeast,MRD,88.0,86.8,88.8,391
2024-12,southeast,NOV,88.4,87.2,89.2,316
2024-12,southeast,LUM,88.6,87.4,89.4,306
