ym,zone_id,model_id,csi_score,csi_sales_exp,csi_service_exp,resp_cnt
2025-11,west,TRN,88.4,87.2,89.2,711
2025-11,west,VST,89.0,87.8,89.8,816
2025-11,west,AUR,88.6,87.4,89.4,325
2025-11,west,MRD,88.7,87.5,89.5,505
2025-11,west,NOV,88.2,87.0,89.0,407
2025-11,west,LUM,89.1,87.9,89.9,521
2025-11,central,TRN,88.2,87.0,89.0,465
2025-11,central,VST,88.7,87.5,89.5,534
2025-11,central,AUR,88.8,87.6,89.6,118
2025-11,central,MRD,89.3,88.1,90.1,330
2025-11,central,NOV,88.5,87.3,89.3,266
2025-11,central,LUM,88.8,87.6,89.6,189
2025-11,south,TRN,88.7,87.5,89.5,602
2025-11,south,VST,88.3,87.1,89.1,690
2025-11,south,AUR,87.9,86.7,88.7,153
2025-11,south,MRD,88.7,87.5,89.5,428
2025-11,south,NOV,88.7,87.5,89.5,345
2025-11,south,LUM,88.4,87.2,89.2,245
2025-11,northeast,TRN,88.3,87.1,89.1,465
2025-11,northeast,VST,88.5,87.3,89.3,534
2025-11,northeast,AUR,87.7,86.5,88.5,212
2025-11,northeast,MRD,88.3,87.1,89.1,330
2025-11,northeast,NOV,88.7,87.5,89.5,266
2025-11,northeast,LUM,87.9,86.7,88.7,341
2025-11,southeast,TRN,87.6,86.4,88.4,492
2025-11,southeast,VST,88.3,87.1,89.1,565
2025-11,southeast,AUR,88.9,87.7,89.7,167
2025-11,southeast,MRD,88.7,87.5,89.5,350
2025-11,southeast,NOV,88.5,87.3,89.3,282
2025-11,southeast,LUM,88.1,86.9,88.9,267
